(7,3), (8,6), (4,4), (5,7)

(4,1), (3,2), (2,1), (3,0)

(2,8), (0,4), (4,2), (6,6)

(1,0), (4,2), (5,8), (1,3)

(2,2), (2,2), (2,2), (2,2)

(0,2), (1,2), (1,1), (1,0)

(6,1), (1,2), (5,1), (6,1)

(2,9), (3,6), (8,5), (9,3)

(2,0), (9,0), (9,7), (2,7)

(4,5), (9,1), (1,3), (5,3)

(3,0), (8,6), (8,1), (2,8)

(9,5), (1,6), (9,7), (4,8)

(9,8), (7,2), (1,1), (8,1)

(3,1), (8,1), (8,6), (3,6)

(6,7), (5,4), (9,6), (8,3)

(3,2), (3,2), (5,2), (3,4)

(5,8), (6,8), (5,3), (0,9)

(1,4), (1,5), (2,5), (2,4)

(5,6), (5,2), (5,6), (5,3)

(8,1), (8,9), (9,2), (1,7)
